Model Name,r2,mae
XGBoost,0.8707565462064367,0.1572195408399993
Random Forest,0.8646195736448856,0.16382266499359466
Gradient Boost,0.84554519583713,0.1783140887944829
SVM,0.8247702311112923,0.1900879381540179
Decision Tree,0.8074414874261147,0.19497214514545905
Linear Regression,0.7968610343045295,0.2039024258858801
Ridge Regression,0.7858583440540834,0.21025662820246707
KNN,0.7709865629348072,0.2114641849854826
AdaBoost,0.7466546574542152,0.23790272418440228
